"bin","type","target","value","location"
"0.0","bin","1 wk ahead","0","HHS Region 4"
"0.0","bin","2 wk ahead","0","HHS Region 4"
"0.0","bin","3 wk ahead","0","HHS Region 4"
"0.0","bin","4 wk ahead","0","HHS Region 4"
"0.1","bin","1 wk ahead","0","HHS Region 4"
"0.1","bin","2 wk ahead","0","HHS Region 4"
"0.1","bin","3 wk ahead","0","HHS Region 4"
"0.1","bin","4 wk ahead","0","HHS Region 4"
"0.2","bin","1 wk ahead","0","HHS Region 4"
"0.2","bin","2 wk ahead","0","HHS Region 4"
"0.2","bin","3 wk ahead","0","HHS Region 4"
"0.2","bin","4 wk ahead","0","HHS Region 4"
"0.3","bin","1 wk ahead","0","HHS Region 4"
"0.3","bin","2 wk ahead","0","HHS Region 4"
"0.3","bin","3 wk ahead","0","HHS Region 4"
"0.3","bin","4 wk ahead","0","HHS Region 4"
"0.4","bin","1 wk ahead","0","HHS Region 4"
"0.4","bin","2 wk ahead","0","HHS Region 4"
"0.4","bin","3 wk ahead","0","HHS Region 4"
"0.4","bin","4 wk ahead","0","HHS Region 4"
"0.5","bin","1 wk ahead","0","HHS Region 4"
"0.5","bin","2 wk ahead","0","HHS Region 4"
"0.5","bin","3 wk ahead","0","HHS Region 4"
"0.5","bin","4 wk ahead","0","HHS Region 4"
"0.6","bin","1 wk ahead","0","HHS Region 4"
"0.6","bin","2 wk ahead","0","HHS Region 4"
"0.6","bin","3 wk ahead","0","HHS Region 4"
"0.6","bin","4 wk ahead","0","HHS Region 4"
"0.7","bin","1 wk ahead","0","HHS Region 4"
"0.7","bin","2 wk ahead","0","HHS Region 4"
"0.7","bin","3 wk ahead","0","HHS Region 4"
"0.7","bin","4 wk ahead","0","HHS Region 4"
"0.8","bin","1 wk ahead","0","HHS Region 4"
"0.8","bin","2 wk ahead","0","HHS Region 4"
"0.8","bin","3 wk ahead","0","HHS Region 4"
"0.8","bin","4 wk ahead","0","HHS Region 4"
"0.9","bin","1 wk ahead","0","HHS Region 4"
"0.9","bin","2 wk ahead","0","HHS Region 4"
"0.9","bin","3 wk ahead","0","HHS Region 4"
"0.9","bin","4 wk ahead","0","HHS Region 4"
"1.0","bin","1 wk ahead","0","HHS Region 4"
"1.0","bin","2 wk ahead","0","HHS Region 4"
"1.0","bin","3 wk ahead","0","HHS Region 4"
"1.0","bin","4 wk ahead","0","HHS Region 4"
"1.1","bin","1 wk ahead","0","HHS Region 4"
"1.1","bin","2 wk ahead","0","HHS Region 4"
"1.1","bin","3 wk ahead","0","HHS Region 4"
"1.1","bin","4 wk ahead","0","HHS Region 4"
"1.2","bin","1 wk ahead","0","HHS Region 4"
"1.2","bin","2 wk ahead","0","HHS Region 4"
"1.2","bin","3 wk ahead","0","HHS Region 4"
"1.2","bin","4 wk ahead","0","HHS Region 4"
"1.3","bin","1 wk ahead","0","HHS Region 4"
"1.3","bin","2 wk ahead","0","HHS Region 4"
"1.3","bin","3 wk ahead","0","HHS Region 4"
"1.3","bin","4 wk ahead","0","HHS Region 4"
"1.4","bin","1 wk ahead","0","HHS Region 4"
"1.4","bin","2 wk ahead","0","HHS Region 4"
"1.4","bin","3 wk ahead","0","HHS Region 4"
"1.4","bin","4 wk ahead","0","HHS Region 4"
"1.5","bin","1 wk ahead","0","HHS Region 4"
"1.5","bin","2 wk ahead","0","HHS Region 4"
"1.5","bin","3 wk ahead","0","HHS Region 4"
"1.5","bin","4 wk ahead","0","HHS Region 4"
"1.6","bin","1 wk ahead","0","HHS Region 4"
"1.6","bin","2 wk ahead","0","HHS Region 4"
"1.6","bin","3 wk ahead","0","HHS Region 4"
"1.6","bin","4 wk ahead","0","HHS Region 4"
"1.7","bin","1 wk ahead","0","HHS Region 4"
"1.7","bin","2 wk ahead","0","HHS Region 4"
"1.7","bin","3 wk ahead","0","HHS Region 4"
"1.7","bin","4 wk ahead","0","HHS Region 4"
"1.8","bin","1 wk ahead","0","HHS Region 4"
"1.8","bin","2 wk ahead","0","HHS Region 4"
"1.8","bin","3 wk ahead","0","HHS Region 4"
"1.8","bin","4 wk ahead","0","HHS Region 4"
"1.9","bin","1 wk ahead","0","HHS Region 4"
"1.9","bin","2 wk ahead","0","HHS Region 4"
"1.9","bin","3 wk ahead","0","HHS Region 4"
"1.9","bin","4 wk ahead","0","HHS Region 4"
"2.0","bin","1 wk ahead","0","HHS Region 4"
"2.0","bin","2 wk ahead","0","HHS Region 4"
"2.0","bin","3 wk ahead","0","HHS Region 4"
"2.0","bin","4 wk ahead","0","HHS Region 4"
"2.1","bin","1 wk ahead","0","HHS Region 4"
"2.1","bin","2 wk ahead","0","HHS Region 4"
"2.1","bin","3 wk ahead","0","HHS Region 4"
"2.1","bin","4 wk ahead","0","HHS Region 4"
"2.2","bin","1 wk ahead","0","HHS Region 4"
"2.2","bin","2 wk ahead","0","HHS Region 4"
"2.2","bin","3 wk ahead","0","HHS Region 4"
"2.2","bin","4 wk ahead","0","HHS Region 4"
"2.3","bin","1 wk ahead","0","HHS Region 4"
"2.3","bin","2 wk ahead","0","HHS Region 4"
"2.3","bin","3 wk ahead","0","HHS Region 4"
"2.3","bin","4 wk ahead","0","HHS Region 4"
"2.4","bin","1 wk ahead","0","HHS Region 4"
"2.4","bin","2 wk ahead","0","HHS Region 4"
"2.4","bin","3 wk ahead","0","HHS Region 4"
"2.4","bin","4 wk ahead","0","HHS Region 4"
"2.5","bin","1 wk ahead","0","HHS Region 4"
"2.5","bin","2 wk ahead","0","HHS Region 4"
"2.5","bin","3 wk ahead","0","HHS Region 4"
"2.5","bin","4 wk ahead","0","HHS Region 4"
"2.6","bin","1 wk ahead","0","HHS Region 4"
"2.6","bin","2 wk ahead","0","HHS Region 4"
"2.6","bin","3 wk ahead","0","HHS Region 4"
"2.6","bin","4 wk ahead","0","HHS Region 4"
"2.7","bin","1 wk ahead","0","HHS Region 4"
"2.7","bin","2 wk ahead","0","HHS Region 4"
"2.7","bin","3 wk ahead","0","HHS Region 4"
"2.7","bin","4 wk ahead","0","HHS Region 4"
"2.8","bin","1 wk ahead","0","HHS Region 4"
"2.8","bin","2 wk ahead","0","HHS Region 4"
"2.8","bin","3 wk ahead","0","HHS Region 4"
"2.8","bin","4 wk ahead","0","HHS Region 4"
"2.9","bin","1 wk ahead","0","HHS Region 4"
"2.9","bin","2 wk ahead","0","HHS Region 4"
"2.9","bin","3 wk ahead","0","HHS Region 4"
"2.9","bin","4 wk ahead","0","HHS Region 4"
"3.0","bin","1 wk ahead","0","HHS Region 4"
"3.0","bin","2 wk ahead","0","HHS Region 4"
"3.0","bin","3 wk ahead","0","HHS Region 4"
"3.0","bin","4 wk ahead","0","HHS Region 4"
"3.1","bin","1 wk ahead","0","HHS Region 4"
"3.1","bin","2 wk ahead","0","HHS Region 4"
"3.1","bin","3 wk ahead","0","HHS Region 4"
"3.1","bin","4 wk ahead","0","HHS Region 4"
"3.2","bin","1 wk ahead","0","HHS Region 4"
"3.2","bin","2 wk ahead","0","HHS Region 4"
"3.2","bin","3 wk ahead","0","HHS Region 4"
"3.2","bin","4 wk ahead","0","HHS Region 4"
"3.3","bin","1 wk ahead","0","HHS Region 4"
"3.3","bin","2 wk ahead","0","HHS Region 4"
